Experiment	bias spectroscopy	
Saved Date	01.01.2000 00:00:00	
User		
Date	01.01.2000 00:00:00	
X (m)	4.96447E-9	
Y (m)	6.49409E-9	
Z (m)	-173.056E-9	
Z offset (m)	0E+0	
Settling time (s)	800E-6	
Integration time (s)	6E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	01.01.2000 00:00:00	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Input 6 (V)	Bias (V)	OC M1 Freq. Shift (Hz)	Current [bwd] (A)	Input 6 [bwd] (V)	Bias [bwd] (V)	OC M1 Freq. Shift [bwd] (Hz)
4.35650E-1	4.49095E-11	3.64323E-2	4.35650E-1	-2.23631E+1	3.45414E-11	3.28593E-2	4.35650E-1	-2.24353E+1
4.35000E-1	4.38590E-11	3.58345E-2	4.35000E-1	-2.23235E+1	3.94300E-11	3.37434E-2	4.35000E-1	-2.22334E+1
4.34350E-1	3.67918E-11	3.59037E-2	4.34350E-1	-2.22764E+1	4.62342E-11	3.48943E-2	4.34350E-1	-2.25255E+1
4.33700E-1	3.17837E-11	3.60424E-2	4.33700E-1	-2.21970E+1	4.68655E-11	3.56365E-2	4.33700E-1	-2.21943E+1
4.33050E-1	3.37897E-11	3.55311E-2	4.33050E-1	-2.22609E+1	4.06666E-11	3.56848E-2	4.33050E-1	-2.21060E+1
4.32400E-1	4.09009E-11	3.46040E-2	4.32400E-1	-2.25181E+1	3.47522E-11	3.55752E-2	4.32400E-1	-2.25876E+1
4.31750E-1	4.44783E-11	3.39602E-2	4.31750E-1	-2.23223E+1	3.48171E-11	3.61720E-2	4.31750E-1	-2.22992E+1
4.31100E-1	4.08353E-11	3.42059E-2	4.31100E-1	-2.23455E+1	4.11370E-11	3.70126E-2	4.31100E-1	-2.23734E+1
4.30450E-1	3.39726E-11	3.52438E-2	4.30450E-1	-2.25277E+1	4.65671E-11	3.71535E-2	4.30450E-1	-2.22663E+1
4.29800E-1	3.11946E-11	3.62111E-2	4.29800E-1	-2.23054E+1	4.43850E-11	3.62241E-2	4.29800E-1	-2.24539E+1
4.29150E-1	3.61835E-11	3.63661E-2	4.29150E-1	-2.24267E+1	3.77028E-11	3.49995E-2	4.29150E-1	-2.23582E+1
4.28500E-1	4.28999E-11	3.59774E-2	4.28500E-1	-2.21199E+1	3.24031E-11	3.45207E-2	4.28500E-1	-2.21860E+1
